ID,compound,formula,mz,rt,charge
Lipid_neg_231,C23:0 A,C23H46O2,353.3425,13.6,NaN
Lipid_neg_232,C25:1,C25H48O2,379.35815,13.62,NaN
Lipid_neg_233,C26:2,C26H48O2,391.35815,13.67,NaN
Lipid_neg_234,C26:1,C26H50O2,393.3738,13.73,NaN
Lipid_neg_235,C25:0 B,C25H50O2,381.3738,13.94,NaN
Lipid_neg_236,C24:0,C24H48O2,367.35815,13.99,NaN
Lipid_neg_237,C25:0 A,C25H50O2,381.3738,14.38,NaN
Lipid_neg_238,C26:0,C26H52O2,395.38945,14.75,NaN
Lipid_neg_239,C27:0,C27H54O2,409.4051,15.14,NaN
Lipid_neg_240,C28:0,C28H56O2,423.42075,15.49,NaN
Lipid_neg_241,C29:0,C29H58O2,437.4364,15.78,NaN
Lipid_neg_242,C30:0,C30H60O2,451.45205,16.15,NaN
Lipid_neg_243,C32:0,C32H64O2,479.48335,16.67,NaN
Lipid_neg_244,C34:1,C34H66O2,505.499,16.7,NaN
Lipid_neg_245,C34:0,C34H68O2,507.51465,17.49,NaN
