compound,formula,mz,rt,charge
Lactosyl ceramide(d18:1/24:0),C54H103NO13,974.750224,14.86,1
PC(46:6),C54H96NO8P,918.694637,14.91,1
PE(44:0),C49H98NO8P,860.710287,14.94,1
PE(O-36:1),C41H82NO7P,732.590172,15,1
DG_Na(34:1),C37H69O5Na,617.5115493,15,1
DG_NH4(34:1),C37H69O5NH4,612.556154,15,1
SM (d18:1/24:0),C47H95N2O6P,815.700056,15.01,1
PC(48:7),C56H98NO8P,944.710287,15.04,1
PE(46:1),C51H100NO8P,886.725937,15.06,1
PE(O-38:2),C43H84NO7P,758.605822,15.11,1
DG_Na(36:2),C39H71O5Na,643.5271993,15.13,1
DG_NH4(36:2),C39H71O5NH4,638.571804,15.13,1
DG_Na(40:6),C43H71O5Na,691.5271993,15.15,1
DG_NH4(40:6),C43H71O5NH4,686.571804,15.15,1
PC(40:1),C48H94NO8P,844.678987,15.16,1
DG_Na(38:4),C41H71O5Na,667.5271993,15.19,1
DG_NH4(38:4),C41H71O5NH4,662.571804,15.19,1
PC(42:2),C50H96NO8P,870.694637,15.2,1
PC(36:1)-diether,C44H92NO6P,762.673507,15.26,1
PC(44:3),C52H98NO8P,896.710287,15.31,1
DG_Na(40:5),C43H73O5Na,693.5428493,15.34,1
DG_NH4(40:5),C43H73O5NH4,688.587454,15.34,1
PC(44:4),C52H96NO8P,894.694637,15.38,1
PC(46:5),C54H98NO8P,920.710287,15.39,1
DG_Na(38:3),C41H73O5Na,669.5428493,15.39,1
DG_NH4(38:3),C41H73O5NH4,664.587454,15.39,1
ceramide(d18:1/22:0),C40H79NO3,622.613274,15.45,1
PC(48:6),C56H100NO8P,946.725937,15.47,1
DG_Na(34:0),C37H71O5Na,619.5271993,15.47,1
DG_NH4(34:0),C37H71O5NH4,614.571804,15.47,1
PE(46:0),C51H102NO8P,888.741587,15.52,1
DG_Na(36:1),C39H73O5Na,645.5428493,15.59,1
DG_NH4(36:1),C39H73O5NH4,640.587454,15.59,1
ceramide(d18:1/24:1),C42H81NO3,648.628924,15.59,1
PC(40:0),C48H96NO8P,846.694637,15.6,1
Sphingosine(24:1),C42H81NO3,648.628924,15.6,1
DG_Na(40:4),C43H75O5Na,695.5584993,15.63,1
DG_NH4(40:4),C43H75O5NH4,690.603104,15.63,1
DG_Na(38:2),C41H75O5Na,671.5584993,15.7,1
DG_NH4(38:2),C41H75O5NH4,666.603104,15.7,1
PC(42:1),C50H98NO8P,872.710287,15.73,1
PC(44:2),C52H100NO8P,898.725937,15.74,1
PC(46:3),C54H102NO8P,924.741587,15.86,1
DG_Na(40:3),C43H77O5Na,697.5741493,15.88,1
DG_NH4(40:3),C43H77O5NH4,692.618754,15.88,1
PC(48:5),C56H102NO8P,948.741587,15.94,1
ceramide(d18:1/24:0),C42H83NO3,650.644574,15.98,1
Sphingosine(24:0)/sphinganine(24:1),C42H83NO3,650.644574,15.99,1
ceramide-Dihydro-(d18:0/24:1),C42H83NO3,650.644574,16,1
DG_Na(36:0),C39H75O5Na,647.5584993,16.08,1
DG_NH4(36:0),C39H75O5NH4,642.603104,16.08,1
DG_Na(38:1),C41H77O5Na,673.5741493,16.13,1
DG_NH4(38:1),C41H77O5NH4,668.618754,16.13,1
PC(42:0),C50H100NO8P,874.725937,16.16,1
DG_Na(42:4),C45H79O5Na,723.5897993,16.17,1
DG_NH4(42:4),C45H79O5NH4,718.634404,16.17,1
DG_Na(40:2),C43H79O5Na,699.5897993,16.18,1
DG_NH4(40:2),C43H79O5NH4,694.634404,16.18,1
PC(44:1),C52H102NO8P,900.741587,16.21,1
PC(48:4),C56H104NO8P,950.757237,16.25,1
PC(46:2),C54H104NO8P,926.757237,16.26,1
TG_Na(42:3),C45H79O6Na,739.5847143,16.28,1
TG_NH4(42:3),C45H79O6NH4,734.629319,16.28,1
DG_Na(42:3),C45H81O5Na,725.6054493,16.3,1
DG_NH4(42:3),C45H81O5NH4,720.650054,16.3,1
DG_Na(38:0),C41H79O5Na,675.5897993,16.56,1
DG_NH4(38:0),C41H79O5NH4,670.634404,16.56,1
PC(44:0),C52H104NO8P,902.757237,16.59,1
DG_Na(40:1),C43H81O5Na,701.6054493,16.61,1
DG_NH4(40:1),C43H81O5NH4,696.650054,16.61,1
DG_Na(42:2),C45H83O5Na,727.6210993,16.64,1
TG_Na(42:2),C45H81O6Na,741.6003643,16.64,1
DG_NH4(42:2),C45H83O5NH4,722.665704,16.64,1
TG_NH4(42:2),C45H81O6NH4,736.644969,16.64,1
PC(46:1),C54H106NO8P,928.772887,16.67,1
TG_Na(44:3),C47H83O6Na,767.6160143,16.74,1
TG_NH4(44:3),C47H83O6NH4,762.660619,16.74,1
DG_Na(40:0),C43H83O5Na,703.6210993,16.96,1
DG_NH4(40:0),C43H83O5NH4,698.665704,16.96,1
TG_Na(42:1),C45H83O6Na,743.6160143,17.01,1
TG_NH4(42:1),C45H83O6NH4,738.660619,17.01,1
DG_Na(42:1),C45H85O5Na,729.6367493,17.05,1
DG_NH4(42:1),C45H85O5NH4,724.681354,17.05,1
TG_Na(44:2),C47H85O6Na,769.6316643,17.09,1
TG_NH4(44:2),C47H85O6NH4,764.676269,17.09,1
DG_Na(42:0),C45H87O5Na,731.6523993,17.33,1
DG_NH4(42:0),C45H87O5NH4,726.697004,17.33,1
TG_Na(44:1),C47H87O6Na,771.6473143,17.36,1
TG_Na(50:6),C53H89O6Na,845.6629643,17.36,1
TG_NH4(44:1),C47H87O6NH4,766.691919,17.36,1
TG_NH4(50:6),C53H89O6NH4,840.707569,17.36,1
TG_Na(48:4),C51H89O6Na,821.6629643,17.44,1
TG_NH4(48:4),C51H89O6NH4,816.707569,17.44,1
TG_Na(46:2),C49H89O6Na,797.6629643,17.48,1
TG_NH4(46:2),C49H89O6NH4,792.707569,17.48,1
TG_Na(52:7),C55H91O6Na,871.6786143,17.51,1
TG_NH4(52:7),C55H91O6NH4,866.723219,17.51,1
TG_Na(50:5),C53H91O6Na,847.6786143,17.53,1
TG_NH4(50:5),C53H91O6NH4,842.723219,17.53,1
TG_Na(54:8),C57H93O6Na,897.6942643,17.54,1
TG_NH4(54:8),C57H93O6NH4,892.738869,17.54,1
TG_Na(48:3),C51H91O6Na,823.6786143,17.57,1
TG_NH4(48:3),C51H91O6NH4,818.723219,17.57,1
TG_Na(44:0),C47H89O6Na,773.6629643,17.65,1
TG_NH4(44:0),C47H89O6NH4,768.707569,17.65,1
TG_Na(50:4),C53H93O6Na,849.6942643,17.71,1
TG_NH4(50:4),C53H93O6NH4,844.738869,17.71,1
TG_Na(46:1),C49H91O6Na,799.6786143,17.72,1
TG_Na(52:6),C55H93O6Na,873.6942643,17.72,1
TG_NH4(46:1),C49H91O6NH4,794.723219,17.72,1
TG_NH4(52:6),C55H93O6NH4,868.738869,17.72,1
TG_Na(54:7),C57H95O6Na,899.7099143,17.77,1
TG_NH4(54:7),C57H95O6NH4,894.754519,17.77,1
TG_Na(48:2),C51H93O6Na,825.6942643,17.8,1
TG_Na(62:14),C65H97O6Na,997.7255643,17.8,1
TG_NH4(48:2),C51H93O6NH4,820.738869,17.8,1
TG_NH4(62:14),C65H97O6NH4,992.770169,17.8,1
TG_Na(52:5),C55H95O6Na,875.7099143,17.84,1
TG_NH4(52:5),C55H95O6NH4,870.754519,17.84,1
TG_Na(56:8),C59H97O6Na,925.7255643,17.85,1
TG_NH4(56:8),C59H97O6NH4,920.770169,17.85,1
TG_Na(66:18),C69H97O6Na,1045.725564,17.86,1
TG_NH4(66:18),C69H97O6NH4,1040.770169,17.86,1
TG_Na(64:15),C67H99O6Na,1023.741214,17.87,1
TG_NH4(64:15),C67H99O6NH4,1018.785819,17.87,1
TG_Na(50:3),C53H95O6Na,851.7099143,17.89,1
TG_NH4(50:3),C53H95O6NH4,846.754519,17.89,1
TG_Na(58:9),C61H99O6Na,951.7412143,17.91,1
TG_NH4(58:9),C61H99O6NH4,946.785819,17.91,1
TG_Na(54:6),C57H97O6Na,901.7255643,17.93,1
TG_NH4(54:6),C57H97O6NH4,896.770169,17.93,1
TG_Na(52:4),C55H97O6Na,877.7255643,17.96,1
TG_NH4(52:4),C55H97O6NH4,872.770169,17.96,1
TG_Na(46:0),C49H93O6Na,801.6942643,17.98,1
TG_NH4(46:0),C49H93O6NH4,796.738869,17.98,1
TG_Na(60:10),C63H101O6Na,977.7568643,18.01,1
TG_NH4(60:10),C63H101O6NH4,972.801469,18.01,1
TG_Na(48:1),C51H95O6Na,827.7099143,18.03,1
TG_NH4(48:1),C51H95O6NH4,822.754519,18.03,1
TG_Na(62:13),C65H99O6Na,999.7412143,18.04,1
TG_Na(66:17),C69H99O6Na,1047.741214,18.04,1
TG_NH4(62:13),C65H99O6NH4,994.785819,18.04,1
TG_NH4(66:17),C69H99O6NH4,1042.785819,18.04,1
TG_Na(56:7),C59H99O6Na,927.7412143,18.05,1
TG_NH4(56:7),C59H99O6NH4,922.785819,18.05,1
TG_Na(64:14),C67H101O6Na,1025.756864,18.09,1
TG_NH4(64:14),C67H101O6NH4,1020.801469,18.09,1
TG_Na(50:2),C53H97O6Na,853.7255643,18.1,1
TG_NH4(50:2),C53H97O6NH4,848.770169,18.1,1
CE_Na(18:4),C45H71O2Na,667.5424543,18.11,1
CE_NH4(18:4),C45H71O2NH4,662.587059,18.11,1
TG_Na(58:8),C61H101O6Na,953.7568643,18.12,1
TG_NH4(58:8),C61H101O6NH4,948.801469,18.12,1
TG_Na(54:5),C57H99O6Na,903.7412143,18.13,1
TG_Na(66:15),C69H103O6Na,1051.772514,18.13,1
TG_Na(68:18),C71H101O6Na,1073.756864,18.13,1
TG_NH4(54:5),C57H99O6NH4,898.785819,18.13,1
TG_NH4(66:15),C69H103O6NH4,1046.817119,18.13,1
TG_NH4(68:18),C71H101O6NH4,1068.801469,18.13,1
